NUMBER,STREET,CITY,POSTCODE,country
9,Büntengarten,Aesch,4147,CH
,Büntengarten,Aesch,4147,CH
,Büntengarten,Aesch,4147,CH
1,Bürgerweg,Aesch,4147,CH
1a,Bürgerweg,Aesch,4147,CH
3,Bürgerweg,Aesch,4147,CH
3_01,Bürgerweg,Aesch,4147,CH
10,Denkmalweg,Aesch,4147,CH
10a,Denkmalweg,Aesch,4147,CH
17_01,Denkmalweg,Aesch,4147,CH
17a,Denkmalweg,Aesch,4147,CH
1,Dornacherstrasse,Aesch,4147,CH
101,Dornacherstrasse,Aesch,4147,CH
101a,Dornacherstrasse,Aesch,4147,CH
